comment_id,docket_id,agency,category,topic,posted_date,submitter_name,submitter_type,word_count,ai_score,ai_assisted,human_score
FTC-2025-0002-0032,FTC-2025-0002,FTC,finance,competition,2025-01-13,,Unknown,75,0.0,,1.0
FTC-2025-0002-0018,FTC-2025-0002,FTC,finance,competition,2025-01-08,,Unknown,137,0.0,,1.0
FTC-2025-0002-0049,FTC-2025-0002,FTC,finance,competition,2025-02-03,,Unknown,311,1.0,,0.0
FTC-2025-0002-0019,FTC-2025-0002,FTC,finance,competition,2025-01-10,,Unknown,494,0.0,,1.0
FTC-2025-0002-0037,FTC-2025-0002,FTC,finance,competition,2025-01-17,,Unknown,161,0.0,,1.0
FTC-2025-0002-0033,FTC-2025-0002,FTC,finance,competition,2025-01-15,,Unknown,187,0.0,,1.0
FTC-2025-0002-0035,FTC-2025-0002,FTC,finance,competition,2025-01-16,,Unknown,193,0.0,,1.0
FTC-2025-0002-0047,FTC-2025-0002,FTC,finance,competition,2025-02-03,,Unknown,388,0.0,,1.0
FTC-2025-0002-0015,FTC-2025-0002,FTC,finance,competition,2025-01-08,,Unknown,87,0.0,,1.0
FTC-2025-0002-0039,FTC-2025-0002,FTC,finance,competition,2025-01-17,,Unknown,81,0.0,,1.0
FTC-2025-0002-0050,FTC-2025-0002,FTC,finance,competition,2025-02-04,,Unknown,480,0.0,,1.0
FTC-2025-0002-0026,FTC-2025-0002,FTC,finance,competition,2025-01-10,,Unknown,86,0.0,,1.0
FTC-2025-0002-0040,FTC-2025-0002,FTC,finance,competition,2025-01-17,,Unknown,198,0.0,,1.0
FTC-2025-0002-0025,FTC-2025-0002,FTC,finance,competition,2025-01-10,,Unknown,218,0.0,,1.0
FTC-2025-0002-0038,FTC-2025-0002,FTC,finance,competition,2025-01-17,,Unknown,163,0.0,,1.0
FTC-2025-0002-0016,FTC-2025-0002,FTC,finance,competition,2025-01-08,,Unknown,93,0.0,,1.0
FTC-2025-0002-0017,FTC-2025-0002,FTC,finance,competition,2025-01-08,,Unknown,64,0.0,,1.0
OCC-2025-0005-0032,OCC-2025-0005,OCC,finance,banking,2025-08-20,,Unknown,728,0.0,,1.0
OCC-2025-0005-0004,OCC-2025-0005,OCC,finance,banking,2025-08-14,,Unknown,224,0.0,,1.0
OCC-2025-0005-0003,OCC-2025-0005,OCC,finance,banking,2025-08-04,,Unknown,315,1.0,,0.0
DOL-2025-0005-0008,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,145,0.0,,1.0
DOL-2025-0005-0045,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,83,0.0,,1.0
DOL-2025-0005-0051,DOL-2025-0005,DOL,labor,labor,2025-07-29,,Unknown,102,0.0,,1.0
DOL-2025-0005-0032,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,54,0.0,,1.0
DOL-2025-0005-0066,DOL-2025-0005,DOL,labor,labor,2025-07-31,,Unknown,288,0.0,,1.0
DOL-2025-0005-0072,DOL-2025-0005,DOL,labor,labor,2025-08-04,,Unknown,104,0.0,,1.0
DOL-2025-0005-0036,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,95,0.0,,1.0
DOL-2025-0005-0074,DOL-2025-0005,DOL,labor,labor,2025-08-04,,Unknown,299,0.0,,1.0
DOL-2025-0005-0076,DOL-2025-0005,DOL,labor,labor,2025-08-04,,Unknown,200,0.0,,1.0
DOL-2025-0005-0065,DOL-2025-0005,DOL,labor,labor,2025-07-31,,Unknown,69,0.0,,1.0
DOL-2025-0005-0023,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,86,0.0,,1.0
DOL-2025-0005-0022,DOL-2025-0005,DOL,labor,labor,2025-07-25,,Unknown,248,0.0,,1.0
DOL-2025-0005-0055,DOL-2025-0005,DOL,labor,labor,2025-07-30,,Unknown,206,0.0,,1.0
DOL-2025-0005-0061,DOL-2025-0005,DOL,labor,labor,2025-07-30,,Unknown,226,0.0,,1.0
DOL-2025-0005-0067,DOL-2025-0005,DOL,labor,labor,2025-07-31,,Unknown,551,0.0,,1.0
